issuer,processing_year,processing_month,processing_day,plan_year,filename,logical_filename,source_path,nested_relative,file_timestamp,parsed_timestamp,issuer_mismatch,plan_year_differs_from_processing_year,filename_parse_ok
49046,2026,01,14,2026,to_49046_INDV_MONTHLYDISCREPANCY_2026_20260115015804.OUT.good.gz,to_49046_INDV_MONTHLYDISCREPANCY_2026_20260115015804.OUT.good,/archive/out/good/PAS/49046/2026/01/14/30434_489031050511/to_49046_INDV_MONTHLYDISCREPANCY_2026_20260115015804.OUT.good.gz,30434_489031050511,20260115015804,2026-01-15 01:58:04,False,False,True
49046,2026,01,14,2025,to_49046_INDV_MONTHLYDISCREPANCY_2025_20260115015956.OUT.good.gz,to_49046_INDV_MONTHLYDISCREPANCY_2025_20260115015956.OUT.good,/archive/out/good/PAS/49046/2026/01/14/30434_547735317044/to_49046_INDV_MONTHLYDISCREPANCY_2025_20260115015956.OUT.good.gz,30434_547735317044,20260115015956,2026-01-15 01:59:56,False,True,True
49046,2026,02,12,2026,to_49046_INDV_MONTHLYDISCREPANCY_2026_20260212200324.OUT.good.gz,to_49046_INDV_MONTHLYDISCREPANCY_2026_20260212200324.OUT.good,/archive/out/good/PAS/49046/2026/02/12/3558332_759734209008/to_49046_INDV_MONTHLYDISCREPANCY_2026_20260212200324.OUT.good.gz,3558332_759734209008,20260212200324,2026-02-12 20:03:24,False,False,True
49046,2026,02,12,2025,to_49046_INDV_MONTHLYDISCREPANCY_2025_20260212043343.OUT.good.gz,to_49046_INDV_MONTHLYDISCREPANCY_2025_20260212043343.OUT.good,/archive/out/good/PAS/49046/2026/02/12/3558332_817303853264/to_49046_INDV_MONTHLYDISCREPANCY_2025_20260212043343.OUT.good.gz,3558332_817303853264,20260212043343,2026-02-12 04:33:43,False,True,True
58081,2026,01,11,2025,to_58081_INDV_MONTHLYDISCREPANCY_2025_20260111161247.OUT.good.gz,to_58081_INDV_MONTHLYDISCREPANCY_2025_20260111161247.OUT.good,/archive/out/good/PAS/58081/2026/01/11/30434_53036112914/to_58081_INDV_MONTHLYDISCREPANCY_2025_20260111161247.OUT.good.gz,30434_53036112914,20260111161247,2026-01-11 16:12:47,False,True,True
58081,2026,01,11,2026,to_58081_INDV_MONTHLYDISCREPANCY_2026_20260111171531.OUT.good.gz,to_58081_INDV_MONTHLYDISCREPANCY_2026_20260111171531.OUT.good,/archive/out/good/PAS/58081/2026/01/11/30434_543779101010/to_58081_INDV_MONTHLYDISCREPANCY_2026_20260111171531.OUT.good.gz,30434_543779101010,20260111171531,2026-01-11 17:15:31,False,False,True
58081,2026,02,11,2026,to_58081_INDV_MONTHLYDISCREPANCY_2026_20260211181447.OUT.good.gz,to_58081_INDV_MONTHLYDISCREPANCY_2026_20260211181447.OUT.good,/archive/out/good/PAS/58081/2026/02/11/3558332_651925450699/to_58081_INDV_MONTHLYDISCREPANCY_2026_20260211181447.OUT.good.gz,3558332_651925450699,20260211181447,2026-02-11 18:14:47,False,False,True
58081,2026,02,13,2025,to_58081_INDV_MONTHLYDISCREPANCY_2025_20260213122350.OUT.good.gz,to_58081_INDV_MONTHLYDISCREPANCY_2025_20260213122350.OUT.good,/archive/out/good/PAS/58081/2026/02/13/3558332_590436933421/to_58081_INDV_MONTHLYDISCREPANCY_2025_20260213122350.OUT.good.gz,3558332_590436933421,20260213122350,2026-02-13 12:23:50,False,True,True
60224,2026,01,14,2026,to_60224_INDV_MONTHLYDISCREPANCY_2026_20260114213356.OUT.good.gz,to_60224_INDV_MONTHLYDISCREPANCY_2026_20260114213356.OUT.good,/archive/out/good/PAS/60224/2026/01/14/30434_339884955777/to_60224_INDV_MONTHLYDISCREPANCY_2026_20260114213356.OUT.good.gz,30434_339884955777,20260114213356,2026-01-14 21:33:56,False,False,True
60224,2026,01,15,2025,to_60224_INDV_MONTHLYDISCREPANCY_2025_20260115202024.OUT.good.gz,to_60224_INDV_MONTHLYDISCREPANCY_2025_20260115202024.OUT.good,/archive/out/good/PAS/60224/2026/01/15/30434_383524948230/to_60224_INDV_MONTHLYDISCREPANCY_2025_20260115202024.OUT.good.gz,30434_383524948230,20260115202024,2026-01-15 20:20:24,False,True,True
